id,name,role,level,domain,profession,skills,goal,language,format
mentee_c101e137,Артём Кузнецов,mentee,junior,Blockchain,Smart Contract Developer,typescript; ethereum; hardhat; smart contracts,Освоить новый стек,ru,offline
mentee_5613e676,Виктория Павлов,mentee,junior,QA,Manual Tester,,,ru,online
mentee_bd5998a5,Надежда Новиков,mentee,junior,Backend,Systems Architect,redis; kubernetes; kafka; node.js; postgresql,Освоить облачные технологии,en,hybrid
mentee_73123ecb,Максим Андреев,mentee,senior,Product Analytics,Product Analyst,tableau; power bi; looker; sql; a/b testing; google analytics; python,Научиться менеджменту в IT,,offline
mentee_18fa84dd,Кирилл Соколов,mentee,middle,Backend,API Developer,sql; go; grpc; rest api; node.js; kafka; kubernetes; java,Освоить новый стек,ru,online
mentee_8a8d9dd9,Екатерина Кузнецов,mentee,middle,Blockchain,Web3 Engineer,,Улучшить soft skills,ru+en,online
mentee_faeecc3b,Егор Николаев,mentee,junior,Game Development,Game Developer,game design; python; blender; git,Научиться менеджменту в IT,ru,online
mentee_38000511,Михаил Павлов,mentee,junior,QA,Performance Tester,jira; test planning; postman; sql,Разобраться с архитектурой,ru,online
mentee_1e0ac60d,Павел Волков,mentee,junior,DevOps,Infrastructure Engineer,terraform; azure; jenkins; ansible,Запустить собственный продукт,ru,online
mentee_75be07c5,Егор Борисов,mentee,junior,QA,QA Lead,cypress; sql; postman; api testing; test planning,Улучшить soft skills,ru,online
mentee_c3ef22df,Тимур Соколов,mentee,junior,DevOps,Platform Engineer,grafana; prometheus; terraform,Перейти в ML/Data Science,ru,online
mentee_3e28343f,Владимир Фёдоров,mentee,senior,Game Development,Technical Artist,lua; python; unity; physics simulation; git; opengl; unreal engine; game design; siem,Освоить новый стек,ru,online
mentee_9b878739,Юлия Волков,mentee,junior,Mobile,Flutter Developer,firebase; kotlin,Улучшить soft skills,ru+en,online
mentee_da94c7a6,Ирина Волков,mentee,middle,Game Development,Unity Developer,git; lua; game design; python; unity; c++,Освоить облачные технологии,ru,online
mentee_ba986dd9,Надежда Алексеев,mentee,junior,Mobile,React Native Developer,kotlin; flutter,Разобраться с системным дизайном,ru,online
mentee_f8fa390e,Егор Никитин,mentee,junior,QA,SDET,jira; postman; git; selenium; test planning,Улучшить soft skills,ru,offline
mentee_bf7d7875,Мария Кузнецов,mentee,middle,DevOps,SRE,azure; docker; grafana; aws; helm; kubernetes; linux,Вырасти до Lead/Principal,ru,hybrid
mentee_197cb9b4,Ксения Орлов,mentee,junior,DevOps,SRE,terraform; azure; helm; appium,Освоить новый стек,ru,hybrid
mentee_c23298d1,Арсений Петров,mentee,middle,Cybersecurity,Security Architect,network security; siem; metasploit; python; nmap; wireshark; cryptography; burp suite,Освоить облачные технологии,ru,online
mentee_a62f350e,Ольга Волков,mentee,junior,Data Science,Data Scientist,spark; airflow; python; statistics,Освоить облачные технологии,ru,hybrid
mentee_c62978b1,Светлана Волков,mentee,middle,Blockchain,Smart Contract Developer,defi; ethereum; typescript; hardhat; rust; jira,Сменить специальность,ru,online
mentee_1ce80967,Ирина Орлов,mentee,junior,Blockchain,Crypto Analyst,defi; rust; web3.js; ethers.js; rest api,Освоить облачные технологии,ru,online
mentee_9cd09bb1,Арсений Иванов,mentee,middle,DevOps,Cloud Engineer,,Вырасти до Lead/Principal,ru+en,online
mentee_71b5b444,Наталья Иванов,mentee,junior,Product Analytics,A/B Test Specialist,,Освоить облачные технологии,ru,online
mentee_58b2df4a,Михаил Морозов,mentee,middle,Product Analytics,Marketing Analyst,google analytics; sql; mixpanel; power bi; c#,Сменить специальность,ru+en,online
mentee_16e2246a,Татьяна Алексеев,mentee,junior,Data Science,ML Engineer,scikit-learn; docker; python; statistics; spark,Вырасти до Senior,ru,hybrid
mentee_c82817b3,Михаил Никитин,mentee,junior,Cybersecurity,SOC Analyst,,,,
mentee_600ee19d,Дарья Соколов,mentee,senior,Game Development,Game Developer,,,,
mentee_0e39ef3b,Татьяна Орлов,mentee,junior,Data Science,Research Scientist,pytorch; python; numpy; tensorflow; mlflow; penetration testing,Перейти в ML/Data Science,ru,offline
mentee_1ae52774,Татьяна Петров,mentee,middle,Frontend,Vue Developer,typescript; graphql; figma; html; javascript; vite; react,Разобраться с архитектурой,ru,online
mentee_dda8bbe2,Кирилл Зайцев,mentee,junior,Mobile,Mobile Architect,java; react native; swift; firebase; android studio,Подготовиться к интервью в FAANG,ru+en,online
mentee_82387a7d,Алексей Степанов,mentee,junior,Cybersecurity,Security Architect,owasp; linux; network security,Подготовиться к интервью в FAANG,ru+en,online
mentee_6ca819e5,Ксения Фёдоров,mentee,senior,Frontend,Frontend Developer,vite; html; webpack; javascript; tailwind; css; next.js; typescript,Запустить собственный продукт,ru+en,hybrid
mentee_e8154364,Владимир Захаров,mentee,junior,Backend,Python Developer,,,,
mentee_23db1356,Павел Попов,mentee,middle,Blockchain,Web3 Engineer,,,,
mentee_4f9ce4b1,Ольга Петров,mentee,junior,Backend,Backend Developer,node.js; java,Вырасти до Senior,ru,offline
mentee_875a5cf3,Вера Новиков,mentee,junior,Product Analytics,Web Analyst,tableau; amplitude,Вырасти до Senior,ru,hybrid
mentee_659af3b1,Иван Волков,mentee,middle,Backend,Go Developer,grpc; redis; postgresql; python; kubernetes; sql; rest api; mongodb; kotlin,Сменить специальность,ru+en,online
mentee_49b6fb59,Татьяна Степанов,mentee,middle,Game Development,Game Designer,lua; git; physics simulation; unreal engine; python,Разобраться с системным дизайном,,
mentee_7f4a6ba9,Светлана Алексеев,mentee,middle,QA,QA Engineer,,,ru,offline
mentee_364236fb,Павел Козлов,mentee,middle,Blockchain,DeFi Developer,smart contracts; defi; truffle; typescript; rust; python,Научиться менеджменту в IT,en,hybrid
mentee_68b874fd,Александр Никитин,mentee,junior,Product Analytics,CRM Analyst,mixpanel; statistics; angular,Перейти в ML/Data Science,ru,online
mentee_92283fb1,Григорий Козлов,mentee,senior,Data Science,MLOps Engineer,mlflow; numpy; pandas; python; spark; pytorch; R; docker; statistics; airflow,Сменить специальность,ru,hybrid
mentee_9ebc72af,Артём Никитин,mentee,junior,QA,Manual Tester,allure; sql; postman; git,Разобраться с архитектурой,en,hybrid
mentee_35abb0f2,Надежда Алексеев,mentee,junior,Cybersecurity,Security Engineer,penetration testing; linux,Освоить новый стек,ru,hybrid
mentee_5289cf7e,Людмила Иванов,mentee,junior,DevOps,Kubernetes Engineer,docker; jenkins; azure; helm; github actions,Вырасти до Lead/Principal,ru,offline
mentee_404620d6,Надежда Павлов,mentee,junior,QA,Performance Tester,jmeter; jira,Научиться менеджменту в IT,ru,online
mentee_72a447db,Григорий Лебедев,mentee,junior,Data Science,Computer Vision Engineer,R; numpy; spark,Освоить облачные технологии,,online
mentee_6f169315,Антон Михайлов,mentee,middle,Game Development,Technical Artist,unreal engine; blender; physics simulation; opengl; game design,Вырасти до Senior,ru,online
mentee_71e188c3,Дмитрий Захаров,mentee,junior,DevOps,Cloud Engineer,,,,
mentee_a46a2599,Ксения Николаев,mentee,junior,Mobile,Mobile Architect,rest api; swift; react native; postman,Начать карьеру в IT,en,online
mentee_8d968aef,Ирина Иванов,mentee,middle,DevOps,Platform Engineer,prometheus; grafana; kubernetes; jenkins; gcp; linux; owasp,Сменить специальность,ru,online
mentee_20e8bd3a,Наталья Макаров,mentee,junior,Product Analytics,Web Analyst,power bi; statistics,Перейти в другую компанию,ru,online
mentee_848e270c,Александр Кузнецов,mentee,junior,Blockchain,Web3 Engineer,,,,
mentee_fb9ec015,Егор Борисов,mentee,junior,Cybersecurity,Malware Analyst,penetration testing; python,Улучшить soft skills,ru,hybrid
mentee_787ca1fc,Людмила Козлов,mentee,middle,Backend,Java Developer,go; node.js; docker; kafka,Разобраться с архитектурой,ru,online
mentee_adb7d5f5,Сергей Иванов,mentee,middle,Mobile,React Native Developer,objective-c; android studio; java; xcode; react native; git,Перейти в ML/Data Science,ru,hybrid
mentee_dfbe736e,Валерия Андреев,mentee,senior,Data Science,MLOps Engineer,pandas; docker; sql; airflow; mlflow; scikit-learn; R; aws,,ru+en,hybrid
mentee_abe4c747,Вера Козлов,mentee,junior,Game Development,Unity Developer,,,en,online
mentee_f61c5ad1,Наталья Орлов,mentee,junior,Game Development,Unity Developer,opengl; unreal engine; lua,Разобраться с архитектурой,ru,online
mentee_7c591086,Виктория Лебедев,mentee,senior,Data Science,NLP Engineer,spark; docker; kafka; tensorflow; numpy; scikit-learn; pandas; statistics; ui/ux,Запустить собственный продукт,ru,online
mentee_e2188094,Денис Васильев,mentee,junior,Data Science,NLP Engineer,,Перейти в другую компанию,en,
mentee_bb9d5658,Владимир Егоров,mentee,junior,Mobile,Android Developer,flutter; react native; objective-c; tensorflow,Научиться менеджменту в IT,ru,offline
mentee_43ba0179,Тамара Егоров,mentee,junior,DevOps,DevOps Engineer,helm; gcp; ansible; aws,Перейти в ML/Data Science,,offline
mentee_0e5c7a80,Надежда Николаев,mentee,middle,Mobile,React Native Developer,git; objective-c; swift; java; kotlin; react native; firebase; ui/ux,Сменить специальность,ru,online
mentee_6fb4f4be,Иван Соколов,mentee,middle,Game Development,Game Designer,game design; physics simulation; blender; lua; c++; unreal engine,Запустить собственный продукт,ru+en,offline
mentee_1d7265cd,Анна Никитин,mentee,senior,Product Analytics,Retention Analyst,python; google analytics; a/b testing; statistics; amplitude; power bi; excel; tableau; sql; mixpanel,Пройти сертификацию,en,online
mentee_b10a8582,Сергей Макаров,mentee,junior,Cybersecurity,SOC Analyst,burp suite; cryptography,Улучшить soft skills,ru,online
mentee_af7f15be,Тимур Козлов,mentee,junior,Game Development,Technical Artist,unity; c#; opengl; python; unreal engine,Вырасти до Lead/Principal,en,online
mentee_80a2b906,Екатерина Васильев,mentee,junior,Product Analytics,Marketing Analyst,sql; statistics; mixpanel; game design,Перейти в другую компанию,en,offline
mentee_9dd6ba95,Алина Лебедев,mentee,junior,DevOps,Platform Engineer,kubernetes; linux; grafana; docker; ansible,Подготовиться к интервью в FAANG,ru,online
mentee_81299c50,Кирилл Смирнов,mentee,middle,Data Science,Data Analyst,,,,
mentee_c557f876,Иван Попов,mentee,junior,Data Science,MLOps Engineer,,Научиться менеджменту в IT,ru+en,online
mentee_72c29742,Андрей Семёнов,mentee,junior,Blockchain,Solidity Developer,solidity; web3.js; python; smart contracts,Научиться менеджменту в IT,en,hybrid
mentee_6662cb89,Екатерина Макаров,mentee,middle,Backend,Systems Architect,postgresql; docker; redis; microservices; node.js; kubernetes,Вырасти до Senior,ru,hybrid
mentee_236a25f2,Людмила Зайцев,mentee,middle,Backend,Go Developer,redis; kubernetes; postgresql; sql; docker; grpc,Запустить собственный продукт,ru,online
mentee_86847aa4,Максим Макаров,mentee,middle,Product Analytics,Retention Analyst,amplitude; sql; python; statistics; looker; tableau,Разобраться с архитектурой,,
mentee_4d76047b,Роман Волков,mentee,middle,Blockchain,DeFi Developer,truffle; rust; solidity; typescript; python; ethers.js; hardhat; defi,Перейти в другую компанию,ru,online
mentee_a7ecd409,Тамара Иванов,mentee,middle,Mobile,React Native Developer,react native; android studio; objective-c; rest api; git,Улучшить soft skills,ru,online
mentee_82cead14,Виктория Никитин,mentee,junior,Game Development,Unreal Engine Developer,lua; blender,Улучшить soft skills,ru,online
mentee_64b8320a,Кирилл Кузнецов,mentee,junior,Mobile,Kotlin Developer,xcode; swift; android studio,Улучшить soft skills,ru,online
mentee_8ae9ef92,Дарья Макаров,mentee,middle,Frontend,Web Developer,,Освоить новый стек,ru,
mentee_cd54d262,Татьяна Волков,mentee,junior,QA,QA Engineer,cypress; jmeter; python; allure; postman; R,Сменить специальность,ru+en,online
mentee_4a5ffea3,Денис Никитин,mentee,junior,Product Analytics,Web Analyst,tableau; google analytics; python; statistics; spark,,ru,hybrid
mentee_08ae0ba8,Людмила Борисов,mentee,junior,Cybersecurity,Security Engineer,linux; siem,Вырасти до Senior,ru,offline
mentee_abb369af,Никита Морозов,mentee,junior,Blockchain,Web3 Engineer,rust; python; truffle,Начать карьеру в IT,ru,online
mentee_91167d21,Светлана Павлов,mentee,junior,Cybersecurity,Security Engineer,wireshark; owasp,Разобраться с системным дизайном,,
mentee_84d8125a,Дарья Николаев,mentee,junior,Cybersecurity,Security Architect,,Пройти сертификацию,ru,online
mentee_94d266e4,Иван Кузнецов,mentee,junior,Product Analytics,A/B Test Specialist,power bi; google analytics; excel; tableau; statistics,Сменить специальность,,offline
mentee_8f2b1db4,Алина Степанов,mentee,middle,Game Development,Game Developer,unreal engine; game design; git; python; c#,Разобраться с архитектурой,en,online
mentee_e4a1e3db,Юлия Волков,mentee,senior,Frontend,TypeScript Developer,react; next.js; graphql; html; figma; webpack; vue; javascript; vite,Разобраться с системным дизайном,ru,hybrid
mentee_13674d15,Григорий Попов,mentee,junior,Mobile,Mobile Architect,java; kotlin; android studio; git; objective-c,Перейти в другую компанию,ru,online
mentee_c0aa36d1,Тимур Кузнецов,mentee,junior,DevOps,Platform Engineer,ansible; prometheus; linux; aws,Научиться менеджменту в IT,,online
mentee_2e76ee20,Артём Никитин,mentee,junior,DevOps,SRE,kubernetes; linux; grafana; gcp; github actions,Освоить новый стек,ru,online
mentee_c577bd0d,Людмила Захаров,mentee,junior,Blockchain,Blockchain Developer,smart contracts; nft; solidity; web3.js; rust,Пройти сертификацию,ru,hybrid
mentee_95cbc713,Ирина Алексеев,mentee,middle,Frontend,Angular Developer,figma; webpack; vue; graphql; html; angular; next.js; vite,Пройти сертификацию,,
mentee_b79d8f93,Тамара Павлов,mentee,junior,Mobile,iOS Developer,flutter; xcode; swift; android studio; ui/ux; smart contracts,Вырасти до Senior,ru+en,hybrid
mentee_d0477297,Тимур Алексеев,mentee,junior,Blockchain,DeFi Developer,defi; ethereum; rust; ethers.js; nft; physics simulation,Освоить новый стек,ru+en,hybrid
mentee_b9330a24,Дмитрий Васильев,mentee,junior,Frontend,React Developer,,,,
mentee_48368306,Ольга Кузнецов,mentee,middle,Product Analytics,A/B Test Specialist,looker; power bi; excel; statistics; mixpanel; defi,Перейти в другую компанию,en,online
mentee_76ef4fb7,Татьяна Макаров,mentee,junior,QA,Manual Tester,jira; python; api testing; appium; mlflow,Освоить облачные технологии,,offline
mentee_a1b21535,Антон Борисов,mentee,junior,Product Analytics,A/B Test Specialist,,,,
mentee_7a73edf1,Антон Николаев,mentee,senior,Cybersecurity,AppSec Engineer,wireshark; siem; burp suite; python; network security; penetration testing,Перейти в другую компанию,en,online
mentee_5db50182,Виктория Волков,mentee,middle,Product Analytics,Web Analyst,mixpanel; google analytics; sql; looker; tableau; excel,Улучшить soft skills,ru,online
mentee_2fddac4f,Дмитрий Фёдоров,mentee,junior,Cybersecurity,Incident Response Analyst,burp suite; nmap; owasp; cryptography; metasploit,Подготовиться к интервью в FAANG,ru,online
mentee_3e997631,Вера Никитин,mentee,senior,Data Science,ML Engineer,kafka; spark; pytorch; numpy; tensorflow; scikit-learn; R; solidity,Разобраться с системным дизайном,ru+en,hybrid
mentee_f031df79,Виктория Захаров,mentee,middle,Frontend,TypeScript Developer,vue; graphql; webpack; react; tailwind; html; javascript,Начать карьеру в IT,en,online
mentee_ce540285,Арсений Михайлов,mentee,junior,Product Analytics,Marketing Analyst,looker; power bi; excel; mixpanel; python,Научиться менеджменту в IT,ru,hybrid
mentee_2a6cba07,Михаил Попов,mentee,junior,Mobile,Mobile Architect,firebase; ui/ux; xcode; android studio,Начать карьеру в IT,ru,offline
mentee_210fb3be,Алексей Павлов,mentee,junior,DevOps,Kubernetes Engineer,bash; prometheus; terraform; github actions,Улучшить soft skills,ru,online
mentee_58c59b85,Кирилл Михайлов,mentee,junior,Game Development,Game Developer,blender; c++; unity; lua,Перейти в ML/Data Science,ru+en,offline
mentee_c006b4ac,Анна Борисов,mentee,middle,Blockchain,Crypto Analyst,,Запустить собственный продукт,ru,offline
mentee_85133463,Андрей Новиков,mentee,senior,Blockchain,Smart Contract Developer,nft; truffle; web3.js; typescript; python; defi; rust; ethers.js,Начать карьеру в IT,ru,hybrid
mentee_9065ff7d,Юлия Петров,mentee,junior,Mobile,iOS Developer,,Освоить облачные технологии,ru,
mentee_43290604,Владимир Попов,mentee,senior,DevOps,Platform Engineer,azure; grafana; aws; ansible; linux; kubernetes; gcp,Вырасти до Senior,ru,online
mentee_ca5bafc8,Наталья Орлов,mentee,middle,Product Analytics,Product Analyst,sql; power bi; mixpanel; google analytics,Пройти сертификацию,ru,online
mentee_46bbe27e,Артём Козлов,mentee,middle,Product Analytics,CRM Analyst,sql; power bi; excel; python; mixpanel,Разобраться с системным дизайном,ru,online
mentee_a6654ee6,Роман Кузнецов,mentee,junior,Backend,Java Developer,microservices; mongodb; sql; rest api; node.js,Улучшить soft skills,ru,offline
mentee_233b08e5,Ксения Никитин,mentee,senior,Mobile,React Native Developer,,,,
mentee_bb9cb308,Татьяна Егоров,mentee,junior,Data Science,Research Scientist,pandas; R; airflow; kafka; tensorflow,Освоить новый стек,,
mentee_406e79bd,Михаил Алексеев,mentee,middle,Data Science,Data Scientist,scikit-learn; R; kafka; docker,,ru+en,hybrid
mentee_2a25d066,Михаил Никитин,mentee,middle,Blockchain,Smart Contract Developer,nft; truffle; solidity; typescript; hardhat; javascript,Вырасти до Lead/Principal,ru,hybrid
mentee_1240898e,Вера Кузнецов,mentee,middle,Backend,Go Developer,java; kafka; kubernetes; grpc; metasploit,Разобраться с системным дизайном,en,hybrid
mentee_240644ae,Надежда Козлов,mentee,middle,Mobile,iOS Developer,android studio; react native; swift; flutter; java; nmap,Начать карьеру в IT,ru,offline
mentee_5d439cb3,Михаил Васильев,mentee,middle,Product Analytics,Growth Analyst,looker; statistics; power bi; google analytics; unreal engine,Перейти в ML/Data Science,ru,hybrid
mentee_3e4bc487,Денис Макаров,mentee,middle,Blockchain,Web3 Engineer,rust; ethers.js; python; ethereum; nft,Вырасти до Lead/Principal,ru,online
mentee_eaaa8757,Дарья Волков,mentee,junior,Product Analytics,Web Analyst,sql; a/b testing; amplitude; statistics; looker,Вырасти до Senior,ru,hybrid
mentee_b95b666c,Никита Новиков,mentee,senior,Game Development,Unity Developer,c++; unreal engine; c#; game design; git; python,Улучшить soft skills,ru,online
mentee_99918551,Иван Козлов,mentee,junior,Blockchain,DeFi Developer,,,,
mentee_d8b69c16,Артём Михайлов,mentee,junior,Data Science,BI Analyst,mlflow; statistics; pytorch; sql; scikit-learn,Пройти сертификацию,ru,hybrid
mentee_4db918b4,Алексей Алексеев,mentee,junior,Backend,Database Engineer,java; kafka; kubernetes,Пройти сертификацию,ru,online
mentee_ca8cb874,Алина Никитин,mentee,middle,Frontend,UI Developer,graphql; html; angular; vue; next.js; tensorflow,Вырасти до Lead/Principal,ru,online
mentee_c3f6bfe9,Людмила Петров,mentee,junior,Mobile,Android Developer,ui/ux; git; react native; nft,Освоить новый стек,ru+en,online
mentee_f84c77c0,Татьяна Михайлов,mentee,middle,Cybersecurity,Security Engineer,metasploit; network security; wireshark; nmap; python; penetration testing,Перейти в ML/Data Science,ru,online
mentee_61fb80ec,Денис Зайцев,mentee,middle,Data Science,Computer Vision Engineer,spark; statistics; scikit-learn; pandas,Перейти в ML/Data Science,en,online
mentee_4cf59ff3,Дмитрий Егоров,mentee,junior,Mobile,Flutter Developer,,Улучшить soft skills,ru,offline
mentee_05bb3ac5,Алина Захаров,mentee,senior,Blockchain,Blockchain Developer,typescript; defi; ethers.js; smart contracts; nft; ethereum; truffle; redis,Пройти сертификацию,en,online
mentee_2c84b38b,Арсений Степанов,mentee,junior,Cybersecurity,Malware Analyst,cryptography; burp suite; linux,Перейти в ML/Data Science,ru,hybrid
mentee_0535f3dd,Алина Николаев,mentee,junior,Data Science,ML Engineer,pytorch; statistics; typescript,Вырасти до Senior,ru,hybrid
mentee_45b928e9,Денис Никитин,mentee,junior,Mobile,Android Developer,java; react native; android studio,Подготовиться к интервью в FAANG,ru,online
mentee_c378fcaf,Григорий Павлов,mentee,junior,Mobile,Flutter Developer,rest api; git,Перейти в другую компанию,ru+en,online
mentee_fae261c0,Алина Кузнецов,mentee,junior,Backend,Database Engineer,redis; go,Вырасти до Senior,ru,online
mentee_f81fd020,Антон Орлов,mentee,middle,Product Analytics,Growth Analyst,mixpanel; power bi; a/b testing; google analytics,Научиться менеджменту в IT,ru,offline
mentee_3105653a,Максим Соловьёв,mentee,junior,Backend,Backend Developer,redis; kubernetes; postgresql; rest api,Разобраться с системным дизайном,ru,offline
mentee_ab2f17d8,Надежда Васильев,mentee,middle,Game Development,Game Designer,c#; blender; c++; game design; git; physics simulation,Перейти в ML/Data Science,ru,online
mentee_ccaba5a8,Ирина Петров,mentee,senior,Blockchain,Smart Contract Developer,typescript; truffle; ethers.js; hardhat; rust; solidity; defi,Запустить собственный продукт,ru,online
mentee_c5467fba,Кирилл Васильев,mentee,junior,Game Development,Gameplay Programmer,game design; lua; c#; blender; sql,,ru+en,hybrid
mentee_189d4674,Арсений Павлов,mentee,senior,Mobile,Android Developer,,,,
mentee_4015d3c1,Надежда Андреев,mentee,junior,Cybersecurity,AppSec Engineer,network security; siem; linux,Разобраться с архитектурой,ru,online
mentee_8a40f77b,Максим Семёнов,mentee,middle,Backend,Systems Architect,java; postgresql; python; kubernetes; node.js; docker; react native,Перейти в ML/Data Science,,
mentee_849f43eb,Анна Павлов,mentee,junior,Product Analytics,A/B Test Specialist,amplitude; excel; tableau; sql; a/b testing,Вырасти до Lead/Principal,en,online
mentee_adc34684,Ксения Борисов,mentee,junior,Data Science,MLOps Engineer,scikit-learn; docker,,en,online
mentee_552f3bbc,Полина Никитин,mentee,junior,Frontend,TypeScript Developer,react; figma; next.js; typescript; tailwind; lua,Разобраться с системным дизайном,ru,hybrid
mentee_78edef4c,Елена Лебедев,mentee,middle,Backend,Backend Developer,docker; kafka; grpc; kubernetes; go; mixpanel,Перейти в другую компанию,ru,hybrid
mentee_9c022911,Алина Михайлов,mentee,junior,Blockchain,Web3 Engineer,solidity; ethers.js,Улучшить soft skills,en,online
mentee_27eb9068,Татьяна Иванов,mentee,middle,Cybersecurity,AppSec Engineer,,,,
mentee_59bef8a2,Артём Николаев,mentee,junior,Cybersecurity,AppSec Engineer,network security; siem; metasploit; python,Освоить облачные технологии,ru+en,hybrid
mentee_ad087df6,Сергей Степанов,mentee,junior,Blockchain,Blockchain Developer,ethers.js; smart contracts,Разобраться с архитектурой,ru,online
mentee_c0e65086,Кирилл Смирнов,mentee,junior,QA,QA Lead,cypress; python; test planning; pytest,Начать карьеру в IT,ru,hybrid
mentee_8c3d8d58,Дарья Новиков,mentee,middle,Frontend,Web Developer,typescript; vite; figma; html; react; javascript; android studio,,en,online
mentee_60033dc8,Максим Соловьёв,mentee,senior,Frontend,Frontend Developer,tailwind; vite; figma; next.js; graphql; typescript; vue,Вырасти до Senior,,
mentee_d9d6d4d4,Дарья Макаров,mentee,junior,Frontend,Frontend Developer,react; webpack; figma; vite,Разобраться с системным дизайном,ru,online
mentee_2b1c32d4,Наталья Макаров,mentee,middle,Backend,Database Engineer,,,,
mentee_3b9c8fdd,Полина Макаров,mentee,junior,Frontend,React Developer,,Начать карьеру в IT,en,online
mentee_7a262446,Григорий Степанов,mentee,middle,QA,QA Engineer,,Перейти в ML/Data Science,ru,hybrid
mentee_e4d7eb85,Екатерина Николаев,mentee,junior,Cybersecurity,Malware Analyst,,Сменить специальность,ru,online
mentee_451b3de1,Елена Степанов,mentee,middle,Data Science,ML Engineer,,,,
mentee_afd610eb,Тамара Михайлов,mentee,junior,Frontend,TypeScript Developer,typescript; figma,Перейти в другую компанию,ru,online
mentee_f32d97b2,Мария Соколов,mentee,junior,Game Development,Game Developer,opengl; python; c#; game design; git,Вырасти до Lead/Principal,en,hybrid
mentee_6c35185d,Павел Попов,mentee,junior,Game Development,Unity Developer,unreal engine; lua; c#; game design; physics simulation,Подготовиться к интервью в FAANG,ru,online
mentee_ddf34531,Дарья Андреев,mentee,junior,Backend,Python Developer,node.js; docker; redis; sql; grpc; tailwind,Освоить облачные технологии,,
mentee_ed28b241,Владимир Андреев,mentee,senior,Mobile,Android Developer,,,,
mentee_7fcb99dc,Анна Попов,mentee,junior,Product Analytics,Web Analyst,power bi; looker; python,Пройти сертификацию,ru+en,online
mentee_1f39d1f1,Валерия Попов,mentee,senior,Mobile,Android Developer,firebase; rest api; xcode; ui/ux; java; flutter; react native,Научиться менеджменту в IT,ru+en,online
mentee_fb6c0061,Владимир Михайлов,mentee,junior,Product Analytics,Product Analyst,sql; python; looker,Освоить облачные технологии,,offline
mentee_5c907ce6,Наталья Фёдоров,mentee,senior,QA,Manual Tester,api testing; pytest; git; python; sql; allure; test planning; postman; jmeter; cypress,Перейти в другую компанию,ru,hybrid
mentee_74dd1a95,Екатерина Алексеев,mentee,middle,Data Science,Computer Vision Engineer,pytorch; sql; spark; docker; python; mlflow; numpy,Освоить новый стек,en,hybrid
mentee_45f22720,Владимир Захаров,mentee,junior,QA,Test Automation Engineer,api testing; test planning,Перейти в другую компанию,,offline
mentee_de7cfb56,Григорий Смирнов,mentee,middle,Product Analytics,Web Analyst,mixpanel; excel; power bi; tableau; a/b testing; google analytics; statistics; numpy,Освоить новый стек,ru,hybrid
mentee_7f813bc3,Кирилл Лебедев,mentee,middle,Mobile,React Native Developer,swift; objective-c; react native; ui/ux; git; android studio,,ru,offline
mentee_5aabe735,Павел Смирнов,mentee,senior,Backend,Java Developer,rest api; redis; kubernetes; docker; microservices; sql; python; postgresql; node.js,Разобраться с системным дизайном,,
mentee_9cce57d9,Владимир Попов,mentee,junior,QA,SDET,appium; sql; python,Улучшить soft skills,ru,offline
mentee_cc38cc64,Артём Соловьёв,mentee,junior,QA,Test Automation Engineer,cypress; allure; selenium,Запустить собственный продукт,ru,online
mentee_fa11c5c8,Елена Кузнецов,mentee,middle,Backend,Software Engineer,microservices; docker; kafka; redis; node.js; postgresql; java; mongodb,Перейти в другую компанию,en,online
mentee_19df5294,Тамара Павлов,mentee,middle,DevOps,Infrastructure Engineer,bash; grafana; azure; terraform; docker; prometheus; helm,Сменить специальность,en,hybrid
mentee_18499f56,Тамара Борисов,mentee,senior,Cybersecurity,Malware Analyst,network security; penetration testing; owasp; wireshark; nmap; siem; burp suite; python; cryptography,Начать карьеру в IT,ru,online
mentee_47262a34,Елена Соловьёв,mentee,junior,Backend,Database Engineer,rest api; go; sql; mongodb,Научиться менеджменту в IT,ru,online
mentee_2a5cb8a4,Полина Лебедев,mentee,junior,Cybersecurity,AppSec Engineer,wireshark; nmap,Перейти в ML/Data Science,ru,hybrid
mentee_b930af5b,Владимир Зайцев,mentee,middle,Frontend,Angular Developer,javascript; typescript; html; figma,Вырасти до Senior,ru+en,online
mentee_96c81c0c,Ольга Михайлов,mentee,junior,Backend,Python Developer,kubernetes; grpc,Вырасти до Senior,ru,hybrid
mentee_bf1f8530,Анна Михайлов,mentee,senior,Game Development,Unreal Engine Developer,unreal engine; opengl; python; physics simulation; game design; lua; git; c++; unity; c#; jenkins,Освоить облачные технологии,ru,hybrid
mentee_e1fdbdfb,Екатерина Морозов,mentee,junior,Game Development,Unreal Engine Developer,game design; c++; blender; c#; git,Разобраться с системным дизайном,en,online
mentee_8ae77eba,Иван Макаров,mentee,senior,Blockchain,Blockchain Developer,python; ethereum; defi; typescript; smart contracts; hardhat; nft; helm,Освоить облачные технологии,ru,hybrid
mentee_47b2694a,Татьяна Фёдоров,mentee,junior,Cybersecurity,SOC Analyst,,Сменить специальность,ru+en,
mentee_626c267d,Виктория Зайцев,mentee,junior,Product Analytics,A/B Test Specialist,,Перейти в ML/Data Science,ru,
mentee_1830ec3d,Роман Макаров,mentee,junior,Product Analytics,CRM Analyst,python; google analytics; mixpanel; looker; statistics,Разобраться с архитектурой,en,offline
