id,name,level_raw,level_score,domain,profession,language,language_set,format,format_set,skills_normalized,skills_missing,domain_vector,domain_fallback
mentee_d85faab3,Павел Козлов,junior,1,Mobile,React Native Developer,ru,ru,online,online,react native; ui/ux; git,0,"0.0682,0.0094,0.0081,0.0146,0.0156,0.0039,0.0394,0.8003,0.0059,0.0347",0
mentee_a56a5b04,Михаил Захаров,junior,1,Product Analytics,A/B Test Specialist,ru,ru,hybrid,hybrid|offline|online,excel; amplitude; mixpanel; power bi; sql; xcode,0,"0.0393,0.0205,0.0233,0.0759,0.0047,0.007,0.0261,0.0125,0.7477,0.0429",0
mentee_b2a76fb4,Виктория Соловьёв,junior,1,Frontend,Angular Developer,ru+en,en|ru,,,,1,"0.004,0.0416,0.0047,0.0075,0.0061,0.9095,0.0055,0.002,0.007,0.0121",0
mentee_12651de0,Ксения Михайлов,middle,2,Blockchain,Smart Contract Developer,en,en,offline,offline,hardhat; ethereum; python; truffle; typescript; smart contracts; mongodb,0,"0.0202,0.8158,0.0206,0.0176,0.0051,0.0538,0.0169,0.0084,0.0222,0.0194",0
mentee_593e774b,Никита Петров,senior,3,Mobile,Kotlin Developer,ru+en,en|ru,online,online,rest api; react native; java; android studio; git; kotlin; ui/ux; flutter,0,"0.0798,0.0095,0.0094,0.008,0.0096,0.0092,0.0325,0.8107,0.0043,0.027",0
mentee_ec396536,Иван Соловьёв,middle,2,QA,Performance Tester,ru,ru,online,online,selenium; python; appium; allure; jira; api testing; cypress; postman,0,"0.0334,0.0193,0.0162,0.0289,0.0024,0.0119,0.0486,0.0353,0.038,0.766",0
mentee_7f94aee5,Екатерина Козлов,junior,1,Backend,Software Engineer,ru,ru,hybrid,hybrid|offline|online,microservices; docker; java,0,"0.6562,0.0199,0.0162,0.081,0.0647,0.0036,0.0154,0.0786,0.0347,0.0299",0
mentee_e3c3fff6,Наталья Орлов,middle,2,QA,Test Analyst,,,offline,offline,pytest; postman; test planning; api testing; appium; sql,0,"0.0357,0.0184,0.0172,0.0346,0.0031,0.0118,0.0482,0.03,0.0469,0.7541",0
mentee_81fe04a2,Александр Николаев,senior,3,Data Science,Computer Vision Engineer,ru,ru,online,online,python; statistics; scikit-learn; pytorch; sql; numpy; tensorflow; mlflow; pandas,0,"0.0812,0.0129,0.012,0.7078,0.0338,0.0096,0.0223,0.0055,0.0831,0.0316",0
mentee_774bfef8,Надежда Васильев,middle,2,Blockchain,Web3 Engineer,ru,ru,hybrid,hybrid|offline|online,ethers.js; rust; python; typescript; web3.js; r,0,"0.0168,0.8254,0.0251,0.0187,0.0069,0.0392,0.0199,0.0093,0.0194,0.0193",0
mentee_6c9b0482,Алексей Фёдоров,junior,1,Mobile,Android Developer,en,en,online,online,firebase; xcode; react native,0,"0.074,0.01,0.0049,0.0086,0.005,0.0058,0.0347,0.818,0.0102,0.0288",0
mentee_88f95884,Тимур Иванов,senior,3,Product Analytics,Product Analyst,ru,ru,online,online,amplitude; power bi; sql; excel; looker; statistics; python; mixpanel; tableau,0,"0.0438,0.0202,0.0214,0.0716,0.0072,0.0103,0.0242,0.0067,0.7522,0.0425",0
mentee_b8876d64,Екатерина Егоров,senior,3,Game Development,Game Developer,en,en,online,online,,1,"0.0164,0.0182,0.0174,0.0172,0.0112,0.0057,0.8087,0.0336,0.0242,0.0473",0
mentee_ae3f1e46,Григорий Волков,senior,3,QA,Test Automation Engineer,ru,ru,online,online,,1,"0.0335,0.0177,0.0178,0.0284,0.0066,0.0075,0.0436,0.0317,0.0358,0.7772",0
mentee_476fd661,Валерия Борисов,junior,1,Data Science,Computer Vision Engineer,ru,ru,hybrid,hybrid|offline|online,pytorch; statistics,0,"0.0812,0.0129,0.012,0.7078,0.0338,0.0096,0.0223,0.0055,0.0831,0.0316",0
mentee_09cc19ee,Тимур Егоров,middle,2,DevOps,Kubernetes Engineer,,,,,,1,"0.0642,0.0039,0.0491,0.033,0.8084,0.011,0.009,0.0091,0.0072,0.0052",0
mentee_e433aa1e,Павел Смирнов,junior,1,Cybersecurity,Malware Analyst,ru,ru,online,online,wireshark; nmap; penetration testing; react,0,"0.0167,0.0272,0.8141,0.0154,0.0463,0.0101,0.0167,0.0072,0.0249,0.0213",0
mentee_c3fd0fa8,Ирина Волков,middle,2,DevOps,CI/CD Engineer,ru,ru,hybrid,hybrid|offline|online,aws; terraform; helm; grafana; bash; azure; linux; github actions,0,"0.0539,0.0073,0.0446,0.0262,0.8111,0.012,0.0183,0.0133,0.0043,0.009",0
mentee_161f0739,Дарья Алексеев,junior,1,Frontend,Frontend Developer,ru,ru,online,online,angular; figma; html; javascript,0,"0.0061,0.0449,0.0074,0.0087,0.0131,0.8929,0.0064,0.0044,0.0072,0.0087",0
mentee_bdc17b83,Людмила Никитин,middle,2,Frontend,UI Developer,,,hybrid,hybrid|offline|online,react; tailwind; typescript; javascript; html; vue; figma; webpack,0,"0.0054,0.0507,0.0054,0.0092,0.0079,0.893,0.0057,0.0022,0.0107,0.0098",0
mentee_0df58b6b,Ксения Васильев,junior,1,QA,Test Analyst,ru,ru,online,online,cypress; sql,0,"0.0357,0.0184,0.0172,0.0346,0.0031,0.0118,0.0482,0.03,0.0469,0.7541",0
mentee_3271f723,Денис Егоров,middle,2,Blockchain,Crypto Analyst,ru,ru,online,online,rust; ethers.js; typescript; ethereum; truffle; defi; web3.js; smart contracts,0,"0.0177,0.8215,0.0209,0.0167,0.0053,0.0481,0.0184,0.0147,0.0194,0.0172",0
mentee_83657dd4,Дарья Морозов,senior,3,Backend,Database Engineer,en,en,online,online,,1,"0.6365,0.017,0.0142,0.0913,0.0535,0.0035,0.0203,0.0843,0.0421,0.0372",0
mentee_64f886e9,Елена Захаров,middle,2,Game Development,Technical Artist,ru,ru,hybrid,hybrid|offline|online,opengl; physics simulation; git; c#; blender,0,"0.0179,0.0218,0.024,0.0174,0.0128,0.0071,0.8023,0.0286,0.0235,0.0445",0
mentee_08955548,Александр Васильев,junior,1,Data Science,Research Scientist,ru,ru,online,online,statistics; r; tableau,0,"0.0847,0.0166,0.0225,0.7038,0.0269,0.0117,0.0174,0.0093,0.0745,0.0327",0
mentee_bd5801a7,Никита Семёнов,junior,1,Blockchain,DeFi Developer,ru+en,en|ru,online,online,ethereum; nft; web3.js; python,0,"0.0169,0.8203,0.0203,0.0169,0.005,0.0485,0.0238,0.0067,0.0244,0.0172",0
mentee_c9dc9497,Владимир Захаров,senior,3,Cybersecurity,SOC Analyst,ru,ru,online,online,siem; burp suite; linux; python; penetration testing; nmap; wireshark; metasploit; owasp; cryptography; unreal engine,0,"0.0156,0.0234,0.8079,0.0173,0.0436,0.0052,0.0258,0.0149,0.0248,0.0215",0
mentee_285d4f71,Анна Борисов,senior,3,Cybersecurity,AppSec Engineer,ru,ru,hybrid,hybrid|offline|online,nmap; metasploit; owasp; wireshark; burp suite; linux; network security; penetration testing; siem; python,0,"0.0195,0.026,0.8141,0.016,0.0521,0.0034,0.0211,0.0032,0.0272,0.0175",0
mentee_65aafef7,Антон Петров,middle,2,Game Development,Unreal Engine Developer,ru,ru,hybrid,hybrid|offline|online,c#; unreal engine; git; c++; physics simulation; opengl; jmeter,0,"0.0145,0.0168,0.0149,0.0145,0.0101,0.0121,0.8118,0.0363,0.0192,0.0497",0
mentee_9a2d221a,Денис Семёнов,junior,1,QA,Manual Tester,ru,ru,offline,offline,postman; git; cypress; selenium; truffle,0,"0.032,0.0183,0.0183,0.0316,0.0084,0.01,0.052,0.0289,0.0394,0.761",0
mentee_82b3b0d5,Ольга Васильев,middle,2,Backend,Backend Developer,en,en,online,online,mongodb; go; node.js; redis; microservices; rest api; docker,0,"0.6448,0.0211,0.0194,0.0856,0.0567,0.0093,0.0146,0.0758,0.0378,0.0349",0
mentee_6d352080,Екатерина Никитин,senior,3,Cybersecurity,Penetration Tester,ru,ru,offline,offline,cryptography; nmap; wireshark; siem; burp suite; linux; network security; python; penetration testing; owasp,0,"0.0171,0.027,0.8134,0.0177,0.0504,0.0078,0.0192,0.0067,0.0241,0.0167",0
mentee_44f62505,Арсений Никитин,junior,1,Product Analytics,Marketing Analyst,ru,ru,offline,offline,google analytics; python; tableau; mixpanel; sql,0,"0.0406,0.0214,0.0283,0.07,0.0106,0.0086,0.0288,0.0075,0.7466,0.0375",0
mentee_f7d60404,Владимир Захаров,junior,1,Frontend,Angular Developer,ru+en,en|ru,hybrid,hybrid|offline|online,vue; vite; typescript; graphql,0,"0.004,0.0416,0.0047,0.0075,0.0061,0.9095,0.0055,0.002,0.007,0.0121",0
mentee_14f1ef4f,Полина Лебедев,junior,1,Product Analytics,Retention Analyst,en,en,offline,offline,looker; python,0,"0.0357,0.0225,0.0213,0.0654,0.0071,0.0088,0.0237,0.0056,0.7712,0.0388",0
mentee_745e34e8,Юлия Волков,senior,3,Game Development,Unreal Engine Developer,ru,ru,hybrid,hybrid|offline|online,unity; unreal engine; game design; c++; blender; lua; test planning,0,"0.0145,0.0168,0.0149,0.0145,0.0101,0.0121,0.8118,0.0363,0.0192,0.0497",0
mentee_236fd250,Тимур Николаев,middle,2,Game Development,Technical Artist,en,en,hybrid,hybrid|offline|online,git; physics simulation; unity; unreal engine; blender; opengl; lua; python; github actions,0,"0.0179,0.0218,0.024,0.0174,0.0128,0.0071,0.8023,0.0286,0.0235,0.0445",0
mentee_75806921,Кирилл Орлов,junior,1,QA,QA Lead,en,en,online,online,sql; api testing; python; selenium; jira,0,"0.0365,0.016,0.0163,0.0362,0.006,0.0138,0.0503,0.0255,0.0415,0.7579",0
mentee_e937b00f,Роман Попов,senior,3,DevOps,Platform Engineer,,,,,,1,"0.0668,0.0059,0.0393,0.0284,0.8191,0.011,0.0068,0.0076,0.0084,0.0067",0
mentee_a226ed5e,Юлия Волков,junior,1,QA,Test Analyst,,,online,online,appium; jmeter; cypress; sql,0,"0.0357,0.0184,0.0172,0.0346,0.0031,0.0118,0.0482,0.03,0.0469,0.7541",0
mentee_b66fd9d4,Никита Козлов,senior,3,Cybersecurity,Incident Response Analyst,en,en,hybrid,hybrid|offline|online,cryptography; linux; metasploit; network security; owasp; burp suite; wireshark; penetration testing; siem; nmap,0,"0.0196,0.0247,0.8267,0.0173,0.0407,0.0048,0.0185,0.0073,0.0222,0.0181",0
mentee_a395235d,Анна Орлов,junior,1,Cybersecurity,Security Engineer,ru+en,en|ru,online,online,linux; network security; siem; nmap; metasploit,0,"0.0189,0.0201,0.8251,0.0179,0.0412,0.0105,0.017,0.0053,0.0267,0.0173",0
mentee_931d8038,Сергей Морозов,junior,1,Product Analytics,Marketing Analyst,ru,ru,offline,offline,python; amplitude,0,"0.0406,0.0214,0.0283,0.07,0.0106,0.0086,0.0288,0.0075,0.7466,0.0375",0
mentee_b8b7e507,Артём Соколов,junior,1,Game Development,Technical Artist,,,,,unreal engine; python,0,"0.0179,0.0218,0.024,0.0174,0.0128,0.0071,0.8023,0.0286,0.0235,0.0445",0
mentee_115db761,Арсений Волков,junior,1,Cybersecurity,Penetration Tester,ru,ru,online,online,nmap; metasploit; burp suite; python; siem,0,"0.0171,0.027,0.8134,0.0177,0.0504,0.0078,0.0192,0.0067,0.0241,0.0167",0
mentee_960ef5e4,Дмитрий Егоров,middle,2,DevOps,Platform Engineer,en,en,online,online,helm; prometheus; ansible; grafana; bash,0,"0.0668,0.0059,0.0393,0.0284,0.8191,0.011,0.0068,0.0076,0.0084,0.0067",0
mentee_f9d37a5d,Виктория Козлов,junior,1,Data Science,BI Analyst,ru,ru,hybrid,hybrid|offline|online,sql; numpy; airflow,0,"0.095,0.0195,0.0157,0.6874,0.0327,0.0077,0.0146,0.0101,0.0806,0.0366",0
mentee_070bb5a1,Егор Зайцев,junior,1,Cybersecurity,Malware Analyst,ru,ru,offline,offline,metasploit; linux; network security; wireshark,0,"0.0167,0.0272,0.8141,0.0154,0.0463,0.0101,0.0167,0.0072,0.0249,0.0213",0
mentee_7e60cb50,Ольга Попов,junior,1,DevOps,CI/CD Engineer,en,en,hybrid,hybrid|offline|online,azure; github actions; kubernetes; linux; ansible,0,"0.0539,0.0073,0.0446,0.0262,0.8111,0.012,0.0183,0.0133,0.0043,0.009",0
mentee_48462ecd,Иван Семёнов,middle,2,DevOps,Infrastructure Engineer,ru,ru,,,,1,"0.0696,0.0085,0.0463,0.0386,0.7917,0.0118,0.009,0.0115,0.0059,0.0071",0
mentee_56c7dfe6,Светлана Орлов,middle,2,Backend,API Developer,,,online,online,postgresql; kafka; grpc; go; pytest,0,"0.6304,0.0198,0.0192,0.0887,0.0593,0.008,0.0174,0.0719,0.0431,0.0423",0
mentee_a438e53d,Ольга Алексеев,junior,1,Data Science,BI Analyst,ru,ru,online,online,kafka; spark; tensorflow,0,"0.095,0.0195,0.0157,0.6874,0.0327,0.0077,0.0146,0.0101,0.0806,0.0366",0
mentee_5b579b7e,Вера Морозов,middle,2,Game Development,Game Designer,,,,,python; unity; opengl; unreal engine,0,"0.0217,0.0235,0.016,0.0213,0.0093,0.0082,0.7925,0.0374,0.0241,0.046",0
mentee_3a557991,Алексей Михайлов,middle,2,Game Development,Game Designer,ru+en,en|ru,online,online,c#; git; unity; game design; opengl; lua; python; physics simulation; api testing,0,"0.0217,0.0235,0.016,0.0213,0.0093,0.0082,0.7925,0.0374,0.0241,0.046",0
mentee_f1b202d9,Андрей Попов,junior,1,Product Analytics,Growth Analyst,ru,ru,online,online,tableau; google analytics; power bi; mixpanel,0,"0.0349,0.0294,0.0178,0.0705,0.0081,0.0123,0.0212,0.0049,0.763,0.0378",0
mentee_c62b9990,Мария Павлов,junior,1,Backend,Java Developer,ru,ru,hybrid,hybrid|offline|online,python; kubernetes; mongodb; docker; pytest,0,"0.6078,0.0296,0.0168,0.0856,0.0706,0.0073,0.0234,0.0744,0.0485,0.0358",0
mentee_cf40bb03,Надежда Степанов,junior,1,Mobile,React Native Developer,ru+en,en|ru,,,,1,"0.0682,0.0094,0.0081,0.0146,0.0156,0.0039,0.0394,0.8003,0.0059,0.0347",0
mentee_8c10d81a,Андрей Козлов,senior,3,DevOps,Kubernetes Engineer,en,en,hybrid,hybrid|offline|online,github actions; kubernetes; bash; terraform; linux; helm; prometheus,0,"0.0642,0.0039,0.0491,0.033,0.8084,0.011,0.009,0.0091,0.0072,0.0052",0
mentee_8ec86f69,Арсений Зайцев,middle,2,Product Analytics,Product Analyst,ru,ru,hybrid,hybrid|offline|online,mixpanel; looker; python; tableau,0,"0.0438,0.0202,0.0214,0.0716,0.0072,0.0103,0.0242,0.0067,0.7522,0.0425",0
mentee_7774913f,Роман Семёнов,junior,1,Blockchain,Smart Contract Developer,ru,ru,hybrid,hybrid|offline|online,nft; web3.js; ethereum; truffle; smart contracts; vue,0,"0.0202,0.8158,0.0206,0.0176,0.0051,0.0538,0.0169,0.0084,0.0222,0.0194",0
mentee_6d07606c,Вера Попов,junior,1,Data Science,BI Analyst,ru,ru,offline,offline,kafka; statistics,0,"0.095,0.0195,0.0157,0.6874,0.0327,0.0077,0.0146,0.0101,0.0806,0.0366",0
mentee_ad996eb9,Ольга Семёнов,middle,2,Game Development,Gameplay Programmer,ru,ru,online,online,blender; physics simulation; python; lua; c++; spark,0,"0.021,0.022,0.0175,0.02,0.0098,0.0083,0.7923,0.0373,0.0261,0.0457",0
mentee_52dd5b98,Ирина Захаров,middle,2,Cybersecurity,AppSec Engineer,en,en,online,online,owasp; penetration testing; wireshark; burp suite,0,"0.0195,0.026,0.8141,0.016,0.0521,0.0034,0.0211,0.0032,0.0272,0.0175",0
mentee_1589b9d8,Иван Фёдоров,junior,1,Mobile,Swift Developer,ru,ru,hybrid,hybrid|offline|online,,1,"0.0881,0.0107,0.0106,0.009,0.0074,0.0037,0.0355,0.7934,0.0092,0.0323",0
mentee_509099b8,Андрей Павлов,junior,1,QA,QA Lead,ru,ru,offline,offline,test planning; git; selenium; jmeter; vue,0,"0.0365,0.016,0.0163,0.0362,0.006,0.0138,0.0503,0.0255,0.0415,0.7579",0
mentee_1d258553,Михаил Алексеев,junior,1,Blockchain,Crypto Analyst,ru+en,en|ru,online,online,typescript; web3.js; python; bash,0,"0.0177,0.8215,0.0209,0.0167,0.0053,0.0481,0.0184,0.0147,0.0194,0.0172",0
mentee_88043dca,Валерия Смирнов,junior,1,QA,Test Analyst,ru,ru,,,,1,"0.0357,0.0184,0.0172,0.0346,0.0031,0.0118,0.0482,0.03,0.0469,0.7541",0
mentee_ec61a7b0,Дарья Соколов,junior,1,Cybersecurity,AppSec Engineer,ru+en,en|ru,hybrid,hybrid|offline|online,metasploit; penetration testing; cryptography; owasp,0,"0.0195,0.026,0.8141,0.016,0.0521,0.0034,0.0211,0.0032,0.0272,0.0175",0
mentee_2a6c15ce,Валерия Смирнов,junior,1,Blockchain,Blockchain Developer,ru,ru,online,online,ethers.js; truffle; rust; web3.js; ethereum; python,0,"0.0231,0.8127,0.0219,0.0156,0.006,0.0466,0.0239,0.0072,0.0235,0.0194",0
mentee_0a33753f,Ирина Борисов,middle,2,QA,SDET,ru,ru,online,online,cypress; pytest; git; jira; jmeter; test planning; allure; python; solidity,0,"0.0323,0.0219,0.014,0.0284,0.0047,0.0085,0.0447,0.033,0.0381,0.7745",0
mentee_3b687353,Артём Михайлов,junior,1,QA,Test Automation Engineer,,,,,,1,"0.0335,0.0177,0.0178,0.0284,0.0066,0.0075,0.0436,0.0317,0.0358,0.7772",0
mentee_d898919a,Ксения Николаев,junior,1,Mobile,React Native Developer,en,en,offline,offline,objective-c; git,0,"0.0682,0.0094,0.0081,0.0146,0.0156,0.0039,0.0394,0.8003,0.0059,0.0347",0
mentee_2cb1b3aa,Андрей Волков,junior,1,Data Science,Data Analyst,ru,ru,online,online,scikit-learn; kafka; python; sql; r; git,0,"0.0884,0.0148,0.0137,0.7227,0.0279,0.0093,0.0228,0.0055,0.0657,0.0291",0
mentee_0b326fec,Артём Соловьёв,junior,1,Product Analytics,Product Analyst,ru,ru,online,online,statistics; a/b testing; mixpanel,0,"0.0438,0.0202,0.0214,0.0716,0.0072,0.0103,0.0242,0.0067,0.7522,0.0425",0
mentee_665f0dff,Дмитрий Николаев,junior,1,Backend,Python Developer,ru,ru,online,online,grpc; postgresql; microservices; graphql,0,"0.6323,0.018,0.0178,0.085,0.0689,0.0116,0.0185,0.0788,0.0375,0.0316",0
mentee_2ad7fae9,Максим Захаров,junior,1,QA,Test Analyst,ru,ru,offline,offline,api testing; python,0,"0.0357,0.0184,0.0172,0.0346,0.0031,0.0118,0.0482,0.03,0.0469,0.7541",0
mentee_e6d4635f,Юлия Волков,junior,1,DevOps,Kubernetes Engineer,ru,ru,hybrid,hybrid|offline|online,gcp; terraform; helm; azure; github actions; objective-c,0,"0.0642,0.0039,0.0491,0.033,0.8084,0.011,0.009,0.0091,0.0072,0.0052",0
mentee_192eca0e,Полина Зайцев,senior,3,Frontend,Vue Developer,ru,ru,online,online,react; javascript; webpack; css; vite; vue; graphql; typescript,0,"0.007,0.0469,0.0059,0.0079,0.0091,0.8851,0.0088,0.0044,0.0091,0.0157",0
mentee_ff016dec,Тимур Семёнов,senior,3,Product Analytics,A/B Test Specialist,ru+en,en|ru,offline,offline,tableau; looker; power bi; google analytics; statistics; mixpanel; python; a/b testing; linux,0,"0.0393,0.0205,0.0233,0.0759,0.0047,0.007,0.0261,0.0125,0.7477,0.0429",0
mentee_de4a2756,Виктория Волков,middle,2,Mobile,React Native Developer,ru+en,en|ru,hybrid,hybrid|offline|online,react native; firebase; flutter; rest api; kotlin; xcode,0,"0.0682,0.0094,0.0081,0.0146,0.0156,0.0039,0.0394,0.8003,0.0059,0.0347",0
mentee_2fd99ba4,Светлана Петров,senior,3,QA,QA Engineer,en,en,online,online,python; jira; postman; sql; selenium; jmeter; api testing; cypress; pytest,0,"0.0387,0.0254,0.0194,0.0346,0.0137,0.0095,0.0463,0.0286,0.0471,0.7367",0
mentee_691755fb,Алексей Васильев,junior,1,QA,Manual Tester,en,en,online,online,appium; sql; jmeter; postman; git,0,"0.032,0.0183,0.0183,0.0316,0.0084,0.01,0.052,0.0289,0.0394,0.761",0
mentee_591cfc76,Анна Иванов,middle,2,Data Science,ML Engineer,ru,ru,offline,offline,statistics; python; pytorch; pandas,0,"0.0823,0.0191,0.0171,0.7122,0.0278,0.0077,0.019,0.0116,0.0722,0.0311",0
mentee_1822458c,Павел Степанов,senior,3,Cybersecurity,Incident Response Analyst,,,,,siem; linux; nmap; python; owasp; penetration testing; cryptography; burp suite; network security; docker,0,"0.0196,0.0247,0.8267,0.0173,0.0407,0.0048,0.0185,0.0073,0.0222,0.0181",0
mentee_a5f48c06,Денис Макаров,middle,2,Frontend,Web Developer,ru+en,en|ru,online,online,next.js; vue; typescript; react; webpack; graphql,0,"0.0043,0.052,0.0057,0.0051,0.0126,0.8926,0.0064,0.0075,0.0086,0.0052",0
mentee_19790f5d,Вера Степанов,junior,1,Data Science,NLP Engineer,ru,ru,online,online,spark; python; statistics,0,"0.0835,0.0163,0.0147,0.7191,0.0303,0.0102,0.0193,0.0113,0.0682,0.0272",0
mentee_64c0ed42,Дарья Андреев,junior,1,Mobile,iOS Developer,,,,,flutter; kotlin; react native; android studio; xcode,0,"0.074,0.0133,0.0085,0.0086,0.0116,0.0073,0.0392,0.8021,0.008,0.0275",0
mentee_e329ea65,Виктория Петров,junior,1,Blockchain,DeFi Developer,,,,,python; rust; ethereum; typescript,0,"0.0169,0.8203,0.0203,0.0169,0.005,0.0485,0.0238,0.0067,0.0244,0.0172",0
mentee_8103404c,Иван Орлов,senior,3,Product Analytics,Marketing Analyst,en,en,offline,offline,mixpanel; looker; excel; power bi; google analytics; sql; a/b testing,0,"0.0406,0.0214,0.0283,0.07,0.0106,0.0086,0.0288,0.0075,0.7466,0.0375",0
mentee_3e9edf95,Тамара Иванов,junior,1,Data Science,Data Analyst,ru,ru,offline,offline,tensorflow; sql; physics simulation,0,"0.0884,0.0148,0.0137,0.7227,0.0279,0.0093,0.0228,0.0055,0.0657,0.0291",0
mentee_0cbddf4b,Полина Лебедев,middle,2,Mobile,Flutter Developer,ru+en,en|ru,hybrid,hybrid|offline|online,flutter; android studio; xcode; git; react native; rest api,0,"0.086,0.0079,0.0067,0.0074,0.0073,0.0057,0.0321,0.8105,0.0081,0.0283",0
mentee_a98b269d,Екатерина Иванов,junior,1,Mobile,Kotlin Developer,en,en,hybrid,hybrid|offline|online,kotlin; react native; java; go,0,"0.0798,0.0095,0.0094,0.008,0.0096,0.0092,0.0325,0.8107,0.0043,0.027",0
mentee_fcf84044,Роман Борисов,senior,3,Data Science,Data Scientist,ru+en,en|ru,hybrid,hybrid|offline|online,pandas; numpy; mlflow; kafka; spark; pytorch; statistics; tensorflow; python; airflow,0,"0.0862,0.0257,0.0173,0.6936,0.0277,0.0088,0.0191,0.0097,0.0789,0.0331",0
mentee_4e68fc70,Максим Соколов,junior,1,Backend,Backend Developer,ru,ru,online,online,grpc; java,0,"0.6448,0.0211,0.0194,0.0856,0.0567,0.0093,0.0146,0.0758,0.0378,0.0349",0
mentee_c19154ca,Денис Фёдоров,junior,1,Product Analytics,Web Analyst,ru,ru,online,online,excel; google analytics,0,"0.0418,0.0249,0.0186,0.0721,0.0046,0.0118,0.0191,0.0035,0.7682,0.0355",0
mentee_707a7983,Екатерина Макаров,junior,1,Game Development,Technical Artist,ru+en,en|ru,online,online,c++; c#,0,"0.0179,0.0218,0.024,0.0174,0.0128,0.0071,0.8023,0.0286,0.0235,0.0445",0
mentee_e4837b9c,Григорий Орлов,middle,2,Blockchain,Web3 Engineer,ru,ru,online,online,rust; defi; python; smart contracts; typescript; hardhat,0,"0.0168,0.8254,0.0251,0.0187,0.0069,0.0392,0.0199,0.0093,0.0194,0.0193",0
mentee_6c76075c,Ксения Иванов,junior,1,Data Science,Computer Vision Engineer,en,en,,,,1,"0.0812,0.0129,0.012,0.7078,0.0338,0.0096,0.0223,0.0055,0.0831,0.0316",0
mentee_ab2524f6,Артём Степанов,junior,1,Mobile,Swift Developer,ru,ru,online,online,java; android studio; rest api; objective-c,0,"0.0881,0.0107,0.0106,0.009,0.0074,0.0037,0.0355,0.7934,0.0092,0.0323",0
mentee_7a514713,Сергей Смирнов,junior,1,Game Development,Gameplay Programmer,,,,,physics simulation; game design; python; opengl,0,"0.021,0.022,0.0175,0.02,0.0098,0.0083,0.7923,0.0373,0.0261,0.0457",0
mentee_43113346,Алина Семёнов,senior,3,QA,Performance Tester,ru,ru,online,online,postman; git; jira; test planning; selenium; allure; api testing,0,"0.0334,0.0193,0.0162,0.0289,0.0024,0.0119,0.0486,0.0353,0.038,0.766",0
mentee_0a5e7fe0,Андрей Соколов,junior,1,Frontend,React Developer,ru,ru,online,online,javascript; css,0,"0.0049,0.0486,0.0047,0.0114,0.0081,0.8855,0.0056,0.0111,0.0117,0.0083",0
mentee_3450432b,Светлана Новиков,junior,1,Cybersecurity,Incident Response Analyst,ru,ru,hybrid,hybrid|offline|online,wireshark; siem; network security,0,"0.0196,0.0247,0.8267,0.0173,0.0407,0.0048,0.0185,0.0073,0.0222,0.0181",0
mentee_c3d24bde,Денис Николаев,junior,1,Backend,Software Engineer,ru,ru,hybrid,hybrid|offline|online,go; node.js; docker; kafka,0,"0.6562,0.0199,0.0162,0.081,0.0647,0.0036,0.0154,0.0786,0.0347,0.0299",0
mentee_87c35f7c,Полина Николаев,middle,2,Mobile,Swift Developer,,,,,ui/ux; flutter; git; xcode,0,"0.0881,0.0107,0.0106,0.009,0.0074,0.0037,0.0355,0.7934,0.0092,0.0323",0
mentee_aad6d835,Денис Кузнецов,middle,2,Frontend,Vue Developer,ru+en,en|ru,hybrid,hybrid|offline|online,webpack; html; css; vue; git,0,"0.007,0.0469,0.0059,0.0079,0.0091,0.8851,0.0088,0.0044,0.0091,0.0157",0
mentee_e11a8dfc,Надежда Зайцев,middle,2,Product Analytics,Retention Analyst,en,en,online,online,amplitude; google analytics; tableau; looker; a/b testing; mixpanel,0,"0.0357,0.0225,0.0213,0.0654,0.0071,0.0088,0.0237,0.0056,0.7712,0.0388",0
mentee_0cf8f7dd,Мария Алексеев,middle,2,Data Science,NLP Engineer,ru+en,en|ru,hybrid,hybrid|offline|online,mlflow; pytorch; pandas; airflow; spark,0,"0.0835,0.0163,0.0147,0.7191,0.0303,0.0102,0.0193,0.0113,0.0682,0.0272",0
mentee_f0feaab8,Елена Макаров,junior,1,Product Analytics,CRM Analyst,en,en,online,online,tableau; sql; excel; pytorch,0,"0.0354,0.0209,0.0238,0.078,0.0057,0.0096,0.0195,0.0088,0.7583,0.0401",0
mentee_79d8cf01,Павел Николаев,junior,1,Cybersecurity,SOC Analyst,en,en,online,online,cryptography; wireshark; burp suite,0,"0.0156,0.0234,0.8079,0.0173,0.0436,0.0052,0.0258,0.0149,0.0248,0.0215",0
mentee_41fd2ee6,Полина Макаров,middle,2,Cybersecurity,Penetration Tester,en,en,hybrid,hybrid|offline|online,python; cryptography; wireshark; nmap,0,"0.0171,0.027,0.8134,0.0177,0.0504,0.0078,0.0192,0.0067,0.0241,0.0167",0
mentee_eb85a908,Наталья Семёнов,junior,1,Product Analytics,Retention Analyst,ru,ru,offline,offline,a/b testing; google analytics; excel; tableau; sql,0,"0.0357,0.0225,0.0213,0.0654,0.0071,0.0088,0.0237,0.0056,0.7712,0.0388",0
mentee_c8b3548a,Екатерина Смирнов,junior,1,Frontend,Web Developer,ru,ru,online,online,,1,"0.0043,0.052,0.0057,0.0051,0.0126,0.8926,0.0064,0.0075,0.0086,0.0052",0
mentee_f4d127f3,Павел Алексеев,junior,1,QA,Manual Tester,,,online,online,appium; api testing; selenium,0,"0.032,0.0183,0.0183,0.0316,0.0084,0.01,0.052,0.0289,0.0394,0.761",0
