id,name,role,level,domain,profession,skills,language,format,experience_years,available,hours_per_week,boosted,boost_k
mentor_bb4eff35,Светлана Попов,mentor,middle,Cybersecurity,Security Architect,wireshark; nmap; penetration testing; network security; burp suite,ru,online,5,True,2,False,0.0
mentor_a7357826,Наталья Новиков,mentor,senior,Mobile,Mobile Architect,firebase; rest api; xcode; swift; git; java; ui/ux; flutter; objective-c; kotlin; react native; android studio,ru+en,online,10,True,5,False,0.0
mentor_b0698586,Максим Новиков,mentor,senior,Product Analytics,A/B Test Specialist,tableau; python; amplitude; sql; excel; google analytics; a/b testing; react native,ru,hybrid,8,True,1,True,0.19
mentor_c44e63fa,Вера Лебедев,mentor,senior,DevOps,SRE,prometheus; azure; kubernetes; bash; gcp; github actions; jenkins; linux; docker; terraform; aws; grafana,ru,online,6,True,2,True,0.2
mentor_2ad31095,Дарья Зайцев,mentor,senior,Mobile,React Native Developer,xcode; firebase; git; rest api; flutter; react native; swift; java; ui/ux; kotlin,ru,online,5,True,6,False,0.0
mentor_851b59ba,Дмитрий Козлов,mentor,senior,Blockchain,DeFi Developer,ethereum; truffle; python; web3.js; nft; hardhat; rust; smart contracts; typescript; ethers.js,ru,offline,12,False,0,False,0.0
mentor_beccb220,Павел Петров,mentor,senior,Blockchain,Solidity Developer,,,online,10,False,0,False,0.0
mentor_d61a3dfb,Вера Никитин,mentor,middle,Backend,Software Engineer,,,,4,False,0,False,0.0
mentor_6e3e76aa,Ирина Степанов,mentor,lead,DevOps,DevOps Engineer,ansible; grafana; github actions; bash; terraform; jenkins; helm; gcp; prometheus,ru,online,12,True,4,False,0.0
mentor_04f61baa,Виктория Новиков,mentor,senior,Game Development,Unreal Engine Developer,,en,offline,6,False,0,False,0.0
mentor_c67f0734,Антон Козлов,mentor,middle,Blockchain,Crypto Analyst,,ru,offline,5,True,3,False,0.0
mentor_3aa59e00,Надежда Зайцев,mentor,middle,Game Development,Technical Artist,,,,2,True,1,False,0.0
mentor_8527999e,Виктория Захаров,mentor,middle,QA,Test Automation Engineer,git; cypress; test planning; pytest; appium; selenium; allure; jira,,,4,False,0,True,0.1
mentor_70414c16,Максим Соловьёв,mentor,senior,Mobile,React Native Developer,ui/ux; react native; kotlin; xcode; objective-c; git; java; firebase,,hybrid,6,True,2,False,0.0
mentor_5c39db24,Сергей Захаров,mentor,senior,Blockchain,DeFi Developer,ethers.js; python; nft; web3.js; rust; truffle; solidity; hardhat; typescript; smart contracts,ru+en,hybrid,8,True,8,False,0.0
mentor_7b7ab7f3,Максим Алексеев,mentor,senior,DevOps,DevOps Engineer,azure; grafana; docker; prometheus; terraform; github actions; jenkins; bash; ansible,ru+en,offline,12,True,6,False,0.0
mentor_b295ce30,Денис Никитин,mentor,lead,QA,QA Lead,git; appium; jmeter; postman; pytest; api testing; python; allure; test planning; sql; cypress,ru,online,16,True,5,False,0.0
mentor_093ff699,Юлия Иванов,mentor,middle,Data Science,ML Engineer,python; mlflow; numpy; docker; airflow; scikit-learn,ru,online,4,True,3,False,0.0
mentor_c0f06993,Тимур Лебедев,mentor,senior,QA,Test Automation Engineer,appium; python; selenium; cypress; api testing; test planning; jmeter; jira; postman; git; pytest,ru,online,5,True,4,False,0.0
mentor_fcfd3581,Елена Степанов,mentor,senior,Frontend,Angular Developer,react; vite; angular; graphql; html; next.js; css; javascript; vue; tailwind; figma; webpack,en,online,8,False,0,True,0.07
mentor_eea8f591,Александр Кузнецов,mentor,senior,DevOps,Kubernetes Engineer,,ru,hybrid,12,False,0,False,0.0
mentor_6add6af4,Полина Соловьёв,mentor,senior,Blockchain,DeFi Developer,hardhat; defi; python; typescript; ethers.js; smart contracts; web3.js; solidity; rust,en,online,12,True,8,False,0.0
mentor_bafa1dd7,Вера Михайлов,mentor,middle,Game Development,Game Designer,lua; opengl; physics simulation; c++; git; c#; game design; prometheus,ru,online,6,True,6,False,0.0
mentor_7ee4537b,Антон Попов,mentor,senior,Mobile,Swift Developer,swift; kotlin; android studio; xcode; git; react native; flutter; linux,,online,12,True,4,False,0.0
mentor_35177986,Максим Петров,mentor,senior,Game Development,Unreal Engine Developer,game design; unity; git; physics simulation; opengl; python; c++; unreal engine; lua; c#; blender,,,5,True,5,False,0.0
mentor_b2bfcd68,Андрей Михайлов,mentor,senior,Mobile,Swift Developer,flutter; firebase; swift; kotlin; rest api; java; objective-c; git; react native; android studio; ui/ux; xcode; go,ru,online,10,True,5,False,0.0
mentor_6313d5be,Валерия Макаров,mentor,middle,Blockchain,Crypto Analyst,ethers.js; nft; ethereum; smart contracts; truffle; web3.js; solidity; defi,en,offline,2,True,5,True,0.13
mentor_deb7b68e,Вера Никитин,mentor,lead,Game Development,Unreal Engine Developer,python; c#; unreal engine; c++; opengl; game design; unity; blender,,,16,True,8,True,0.11
mentor_d30a88c4,Денис Зайцев,mentor,middle,Cybersecurity,Security Engineer,wireshark; python; burp suite; owasp; metasploit; nmap; cryptography,,,3,False,0,False,0.0
mentor_1800bca8,Юлия Морозов,mentor,lead,Mobile,iOS Developer,git; flutter; kotlin; xcode; ui/ux; objective-c; swift; react native; java; android studio; rest api; firebase,en,online,14,False,0,False,0.0
mentor_6609da05,Роман Степанов,mentor,middle,Data Science,Research Scientist,docker; pytorch; scikit-learn; mlflow; spark; numpy; python; sql; R,,online,2,True,4,False,0.0
mentor_81e137c1,Надежда Егоров,mentor,middle,QA,QA Lead,api testing; jira; sql; selenium; test planning; pytest; pandas,,offline,4,False,0,True,0.08
mentor_32a24e42,Сергей Михайлов,mentor,middle,DevOps,Kubernetes Engineer,prometheus; jenkins; ansible; helm; gcp; grafana; github actions; tableau,ru,hybrid,2,True,4,False,0.0
mentor_2bcc1153,Сергей Новиков,mentor,senior,Cybersecurity,Security Engineer,network security; metasploit; nmap; owasp; burp suite; python; wireshark; cryptography; linux,ru,online,7,True,5,False,0.0
mentor_e6de7d6d,Анна Иванов,mentor,senior,Data Science,Computer Vision Engineer,pandas; pytorch; kafka; python; spark; statistics; docker; tensorflow; mlflow,en,online,5,True,6,False,0.0
mentor_3929785b,Алексей Орлов,mentor,lead,Blockchain,Crypto Analyst,solidity; hardhat; ethers.js; ethereum; rust; smart contracts; truffle; web3.js; defi; cryptography,,offline,19,True,1,False,0.0
mentor_2cabe078,Виктория Попов,mentor,senior,Mobile,Android Developer,,,,5,True,6,False,0.0
mentor_c77bb322,Елена Алексеев,mentor,middle,Product Analytics,Retention Analyst,looker; power bi; mixpanel; google analytics; a/b testing; statistics; amplitude; python; excel,ru,online,6,True,1,False,0.0
mentor_e8189012,Дарья Семёнов,mentor,middle,QA,Performance Tester,cypress; postman; allure; api testing; test planning; python; pytest; appium,,hybrid,6,True,1,False,0.0
mentor_467b5eef,Людмила Кузнецов,mentor,lead,DevOps,SRE,bash; azure; terraform; gcp; prometheus; helm; linux; docker; kubernetes; ansible; aws,ru,online,14,True,2,False,0.0
mentor_d14c21ef,Ирина Андреев,mentor,senior,DevOps,DevOps Engineer,,ru,offline,11,True,3,True,0.16
mentor_81bc1788,Алексей Егоров,mentor,lead,Backend,Go Developer,kafka; kubernetes; node.js; docker; redis; sql; python; go; grpc; mongodb; microservices,ru,offline,15,True,8,False,0.0
mentor_7578d1b8,Вера Андреев,mentor,senior,QA,QA Lead,jmeter; selenium; pytest; postman; api testing; jira; cypress; python; git,,,9,True,6,False,0.0
mentor_b6bb68ac,Кирилл Захаров,mentor,middle,DevOps,DevOps Engineer,linux; azure; terraform; prometheus; kubernetes,ru+en,offline,6,True,5,False,0.0
mentor_38d51f4c,Антон Соловьёв,mentor,lead,Frontend,TypeScript Developer,graphql; javascript; tailwind; webpack; angular; vue; vite; typescript; react; next.js,ru+en,hybrid,11,True,2,False,0.0
mentor_f601ca57,Екатерина Соколов,mentor,middle,Frontend,Web Developer,,,,5,True,2,False,0.0
mentor_5dd4a0c1,Надежда Попов,mentor,middle,Product Analytics,CRM Analyst,,ru+en,hybrid,2,False,0,False,0.0
mentor_05aba56b,Егор Зайцев,mentor,senior,Game Development,Game Developer,unreal engine; c#; lua; physics simulation; c++; opengl; git; unity; python,ru,hybrid,11,True,8,False,0.0
mentor_45dcd849,Алексей Соловьёв,mentor,lead,Blockchain,DeFi Developer,solidity; nft; truffle; rust; web3.js; python; defi; ethers.js; hardhat; ethereum,ru,,15,True,3,False,0.0
mentor_51520b0e,Татьяна Соловьёв,mentor,senior,Cybersecurity,Malware Analyst,nmap; python; wireshark; owasp; metasploit; linux; cryptography; penetration testing,,,5,True,8,False,0.0
mentor_6c3c6c8a,Сергей Морозов,mentor,senior,Cybersecurity,Incident Response Analyst,siem; burp suite; nmap; cryptography; python; penetration testing; wireshark; metasploit; network security,ru,hybrid,9,True,4,False,0.0
mentor_db433e4a,Григорий Волков,mentor,lead,Game Development,Gameplay Programmer,unreal engine; c#; game design; unity; opengl; lua; physics simulation; git; c++; blender,ru+en,online,15,True,8,False,0.0
mentor_0a9abd64,Кирилл Лебедев,mentor,lead,Product Analytics,Product Analyst,python; tableau; mixpanel; looker; power bi; google analytics; excel; a/b testing; statistics; amplitude; linux,ru,online,20,True,2,False,0.0
mentor_cd21ed0e,Михаил Кузнецов,mentor,senior,Game Development,Unity Developer,unreal engine; git; unity; opengl; lua; game design; c#,,,7,False,0,False,0.0
mentor_57c1de05,Михаил Орлов,mentor,senior,Game Development,Game Developer,unreal engine; unity; physics simulation; c++; c#; lua; python; game design; blender; git; opengl,ru,online,11,True,3,False,0.0
mentor_755dec94,Павел Козлов,mentor,lead,Frontend,Vue Developer,html; figma; webpack; react; next.js; javascript; vite; graphql; tailwind; angular,ru,online,16,True,5,False,0.0
mentor_2143fc82,Вера Петров,mentor,middle,Blockchain,DeFi Developer,ethers.js; hardhat; nft; defi; rust,ru,hybrid,5,True,6,False,0.0
mentor_12f50543,Тимур Семёнов,mentor,senior,Blockchain,Web3 Engineer,web3.js; defi; ethers.js; smart contracts; rust; hardhat; typescript; grafana,ru,,8,True,2,False,0.0
mentor_e13c245d,Алина Морозов,mentor,lead,Blockchain,Crypto Analyst,rust; truffle; nft; ethers.js; hardhat; ethereum; solidity; web3.js; smart contracts; python; defi; typescript,,,10,True,4,False,0.0
mentor_2459fa7d,Светлана Морозов,mentor,middle,DevOps,CI/CD Engineer,bash; helm; docker; gcp; linux; jenkins; github actions; python,ru,online,6,True,2,False,0.0
mentor_81160bd7,Иван Алексеев,mentor,lead,Cybersecurity,Incident Response Analyst,siem; nmap; penetration testing; metasploit; cryptography; network security; wireshark; linux; owasp; burp suite; python,ru,online,15,True,1,False,0.0
mentor_6aea9f28,Григорий Борисов,mentor,lead,QA,QA Engineer,test planning; pytest; postman; jmeter; sql; allure; cypress; api testing; git; python; jira,ru+en,,14,True,3,False,0.0
mentor_33d06f1e,Вера Орлов,mentor,senior,Frontend,Web Developer,javascript; figma; html; angular; webpack; typescript; vue; graphql; css; react; next.js; defi,ru,offline,11,True,5,False,0.0
mentor_8c80cba7,Дмитрий Козлов,mentor,senior,QA,QA Engineer,cypress; allure; jmeter; appium; python; test planning; jira,ru+en,online,10,False,0,False,0.0
mentor_c277e865,Егор Михайлов,mentor,middle,Product Analytics,Product Analyst,sql; excel; amplitude; mixpanel; looker,ru,hybrid,5,True,2,True,0.19
mentor_c3c392fd,Ирина Михайлов,mentor,senior,Frontend,Web Developer,javascript; typescript; vite; tailwind; graphql; webpack; css; html; react; next.js; vue,ru,hybrid,6,True,6,False,0.0
mentor_5555be84,Григорий Алексеев,mentor,senior,Data Science,Data Analyst,statistics; airflow; mlflow; kafka; tensorflow; numpy; python,,,11,True,8,False,0.0
mentor_e03a4148,Сергей Захаров,mentor,lead,Game Development,Technical Artist,opengl; c++; physics simulation; git; lua; c#; unreal engine; blender; unity,en,online,16,True,5,False,0.0
mentor_3855c583,Людмила Морозов,mentor,middle,Data Science,Data Analyst,,en,online,4,True,2,False,0.0
mentor_151fbda9,Артём Соколов,mentor,middle,Data Science,MLOps Engineer,,ru,online,4,True,6,False,0.0
mentor_bb039843,Егор Козлов,mentor,senior,Backend,Systems Architect,docker; grpc; microservices; mongodb; postgresql; sql; kafka; node.js; java; cryptography,ru+en,hybrid,11,True,4,False,0.0
mentor_da6f2f5e,Денис Алексеев,mentor,lead,DevOps,Infrastructure Engineer,kubernetes; gcp; jenkins; ansible; terraform; aws; prometheus; github actions; docker; bash; helm; linux; azure; grafana,ru,offline,9,False,0,False,0.0
mentor_99d5dbc3,Александр Николаев,mentor,lead,Mobile,iOS Developer,swift; kotlin; java; flutter; firebase; objective-c; xcode; ui/ux; kubernetes,ru,online,10,True,2,False,0.0
mentor_3c2c26ab,Полина Андреев,mentor,senior,Cybersecurity,Security Architect,siem; cryptography; burp suite; network security; owasp; python; wireshark; android studio,ru,online,8,True,8,False,0.0
mentor_d0e56e1f,Вера Фёдоров,mentor,senior,Game Development,Gameplay Programmer,python; game design; blender; c#; unreal engine; git; c++; lua,en,,7,True,2,False,0.0
mentor_fae5a8b0,Алексей Михайлов,mentor,middle,Frontend,Frontend Developer,typescript; vue; javascript; tailwind; next.js; css,en,hybrid,4,True,2,False,0.0
mentor_da53a690,Ирина Егоров,mentor,senior,Frontend,React Developer,,en,online,10,True,5,True,0.18
mentor_219fd369,Арсений Борисов,mentor,senior,Game Development,Unity Developer,,en,offline,8,True,3,False,0.0
mentor_b17708b5,Алексей Фёдоров,mentor,lead,QA,Manual Tester,pytest; jira; python; test planning; selenium; allure; git; jmeter; appium; api testing; cypress,en,hybrid,9,True,4,False,0.0
mentor_b3aa76f8,Дарья Захаров,mentor,senior,Data Science,Computer Vision Engineer,tensorflow; R; python; spark; kafka; pandas; statistics,ru,hybrid,10,False,0,True,0.08
mentor_9cb196ad,Владимир Макаров,mentor,middle,DevOps,Cloud Engineer,,,,2,True,5,True,0.09
mentor_6d038147,Ксения Семёнов,mentor,senior,Frontend,Web Developer,html; graphql; vite; tailwind; typescript; react; angular; css; next.js; javascript; figma,en,offline,6,True,4,False,0.0
mentor_f6dfd3bd,Наталья Лебедев,mentor,senior,DevOps,Platform Engineer,aws; grafana; kubernetes; helm; prometheus; github actions; docker; gcp; jenkins,ru,online,8,True,1,False,0.0
mentor_c226fe6d,Юлия Иванов,mentor,lead,Blockchain,Blockchain Developer,,en,online,19,True,1,False,0.0
mentor_7d107106,Виктория Зайцев,mentor,middle,Product Analytics,Product Analyst,power bi; google analytics; statistics; tableau; sql; excel; amplitude,,online,2,True,1,False,0.0
mentor_ee683d23,Павел Степанов,mentor,senior,Blockchain,Crypto Analyst,solidity; web3.js; defi; ethereum; python; nft; rust; typescript,,,8,False,0,False,0.0
mentor_af7e9222,Дмитрий Борисов,mentor,senior,Frontend,Vue Developer,angular; react; vite; webpack; html; css; vue; typescript,,,12,True,1,True,0.06
mentor_79843184,Анна Андреев,mentor,senior,Data Science,ML Engineer,sql; pandas; pytorch; tensorflow; python; airflow; docker; scikit-learn,ru,online,12,True,2,True,0.18
mentor_a9e5c11a,Надежда Соколов,mentor,middle,Backend,Backend Developer,rest api; kafka; sql; go; mongodb; api testing,ru,online,2,True,6,False,0.0
mentor_3d1e6258,Антон Орлов,mentor,senior,Product Analytics,Retention Analyst,tableau; amplitude; excel; google analytics; mixpanel; sql; statistics; python; a/b testing; power bi; looker,ru,hybrid,6,False,0,False,0.0
mentor_bea545d3,Сергей Морозов,mentor,senior,Frontend,Web Developer,vite; angular; vue; next.js; react; typescript; css,ru+en,online,12,True,5,True,0.15
mentor_45a7f003,Дарья Соловьёв,mentor,lead,Frontend,Web Developer,javascript; graphql; next.js; html; angular; vue; typescript; css; tailwind; figma; webpack,,online,17,True,8,False,0.0
mentor_8da2d5d4,Андрей Петров,mentor,lead,DevOps,SRE,gcp; azure; bash; prometheus; kubernetes; docker; github actions; helm,en,offline,20,True,6,False,0.0
mentor_c40f9f5a,Алина Петров,mentor,senior,Cybersecurity,Malware Analyst,wireshark; metasploit; cryptography; linux; penetration testing; siem; network security; owasp; pytest,,,5,True,3,False,0.0
mentor_fbd61d88,Вера Фёдоров,mentor,lead,DevOps,Cloud Engineer,github actions; jenkins; bash; docker; linux; grafana; aws; prometheus,ru,online,19,True,8,False,0.0
mentor_07a91747,Александр Алексеев,mentor,senior,Data Science,ML Engineer,,ru,online,12,False,0,False,0.0
mentor_543823e4,Максим Захаров,mentor,senior,Backend,API Developer,java; docker; mongodb; postgresql; kafka; kubernetes; microservices; node.js; go; grpc; typescript,ru,online,7,True,5,False,0.0
mentor_47fe6e4e,Татьяна Соловьёв,mentor,senior,Cybersecurity,AppSec Engineer,linux; penetration testing; burp suite; nmap; owasp; metasploit; python; network security,en,hybrid,10,True,6,False,0.0
mentor_c5272221,Григорий Васильев,mentor,middle,Cybersecurity,Security Architect,burp suite; nmap; cryptography; linux; penetration testing; metasploit; solidity,en,online,3,True,3,False,0.0
mentor_e62e0294,Мария Макаров,mentor,lead,QA,Performance Tester,selenium; allure; python; pytest; cypress; appium; api testing; sql; test planning; jmeter; hardhat,ru,,14,True,1,False,0.0
mentor_f089185a,Роман Петров,mentor,senior,Cybersecurity,SOC Analyst,python; network security; cryptography; siem; wireshark; burp suite; owasp; penetration testing,,,12,True,1,False,0.0
mentor_21e5347b,Дмитрий Никитин,mentor,senior,Blockchain,Web3 Engineer,smart contracts; ethers.js; hardhat; typescript; solidity; defi; rust; xcode,ru,hybrid,6,True,8,False,0.0
mentor_24af0ef2,Кирилл Орлов,mentor,senior,QA,Performance Tester,python; test planning; pytest; allure; jira; jmeter; api testing; git; postman; appium; selenium,ru+en,,10,True,6,False,0.0
mentor_a520ed47,Мария Алексеев,mentor,lead,Backend,Software Engineer,redis; grpc; kubernetes; docker; postgresql; go; python; rest api; node.js,ru,offline,11,False,0,False,0.0
mentor_33b8a70b,Валерия Соколов,mentor,senior,DevOps,SRE,azure; terraform; github actions; aws; linux; docker; grafana; bash; jenkins; ansible; prometheus; helm,en,hybrid,6,True,4,False,0.0
mentor_3185d2f5,Дарья Смирнов,mentor,senior,Backend,Database Engineer,docker; kubernetes; microservices; node.js; redis; postgresql; python; kafka,ru+en,hybrid,6,True,1,False,0.0
mentor_e1cb83c8,Елена Борисов,mentor,senior,Game Development,Unreal Engine Developer,,,,12,True,2,False,0.0
mentor_494887ae,Ирина Соловьёв,mentor,middle,Game Development,Gameplay Programmer,physics simulation; unity; c#; opengl; git; c++; unreal engine; game design; lua,ru,offline,5,True,6,False,0.0
mentor_9e4c2e53,Егор Волков,mentor,senior,Blockchain,Blockchain Developer,,,,12,True,8,False,0.0
mentor_860efaf3,Александр Павлов,mentor,senior,Product Analytics,Web Analyst,google analytics; looker; a/b testing; power bi; sql; mixpanel; tableau; python; amplitude,ru,online,12,True,2,False,0.0
mentor_02fcbc53,Дарья Попов,mentor,senior,Blockchain,Solidity Developer,typescript; hardhat; nft; ethereum; defi; python; solidity; ethers.js; web3.js; truffle; rust; smart contracts,ru,online,11,True,4,False,0.0
mentor_f06d8ee8,Артём Егоров,mentor,senior,Cybersecurity,Security Engineer,nmap; metasploit; network security; siem; owasp; burp suite; python; linux; wireshark; cryptography,en,online,10,True,3,False,0.0
mentor_be866e68,Иван Николаев,mentor,lead,Cybersecurity,AppSec Engineer,,,hybrid,14,True,3,False,0.0
mentor_1fe758b8,Татьяна Смирнов,mentor,middle,Backend,Database Engineer,rest api; docker; grpc; redis; postgresql; sql; node.js,en,offline,2,False,0,False,0.0
mentor_2cc0ce45,Полина Николаев,mentor,senior,Backend,Software Engineer,grpc; postgresql; rest api; redis; mongodb; kafka; java; kubernetes; node.js; go,,,12,True,2,False,0.0
mentor_be5468c1,Надежда Михайлов,mentor,middle,Data Science,BI Analyst,spark; tensorflow; kafka; docker; mlflow; pytorch; python,ru,hybrid,4,True,5,True,0.17
mentor_f3ed91e2,Людмила Павлов,mentor,lead,Data Science,Data Scientist,scikit-learn; R; sql; statistics; tensorflow; airflow; docker; python; numpy; kafka,ru,online,20,True,8,True,0.05
mentor_0ed9b37c,Юлия Кузнецов,mentor,middle,Data Science,MLOps Engineer,spark; python; statistics; airflow; docker; R; penetration testing,,,6,True,8,False,0.0
mentor_a170e3d4,Полина Макаров,mentor,lead,Cybersecurity,Security Engineer,metasploit; owasp; nmap; burp suite; wireshark; python; cryptography; linux,ru+en,online,10,True,1,False,0.0
mentor_3f871fda,Александр Смирнов,mentor,senior,Mobile,React Native Developer,,ru,offline,9,False,0,True,0.05
mentor_ab6a20de,Арсений Козлов,mentor,senior,Data Science,Computer Vision Engineer,python; docker; R; mlflow; statistics; kafka; tensorflow; pandas; sql; pytorch,en,,7,True,8,True,0.14
mentor_1c1188dd,Денис Степанов,mentor,senior,Cybersecurity,SOC Analyst,nmap; linux; cryptography; owasp; penetration testing; burp suite; metasploit; network security; siem,ru,online,11,True,4,True,0.14
mentor_d8bdc449,Екатерина Орлов,mentor,lead,Cybersecurity,Malware Analyst,siem; penetration testing; burp suite; linux; wireshark; metasploit; nmap; python; network security,ru+en,online,12,True,1,False,0.0
mentor_d7609aa1,Елена Егоров,mentor,middle,Mobile,Swift Developer,firebase; objective-c; ui/ux; react native; java,ru,offline,6,True,4,False,0.0
mentor_983036eb,Юлия Андреев,mentor,senior,Frontend,Angular Developer,html; tailwind; graphql; javascript; typescript; angular; react,ru,online,11,True,1,False,0.0
mentor_dad427cd,Мария Орлов,mentor,lead,Product Analytics,Growth Analyst,a/b testing; power bi; python; amplitude; sql; mixpanel; tableau; looker; google analytics,ru,online,19,True,1,False,0.0
mentor_a77fdb78,Павел Захаров,mentor,middle,Backend,Java Developer,mongodb; postgresql; node.js; kafka; python; sql; tableau,en,offline,6,True,3,False,0.0
mentor_6599e3cd,Наталья Орлов,mentor,senior,Cybersecurity,SOC Analyst,,,,5,True,6,True,0.14
mentor_85448736,Полина Соколов,mentor,senior,Backend,Java Developer,docker; node.js; kubernetes; kafka; rest api; go; postgresql; ethereum,ru,offline,9,False,0,False,0.0
mentor_0c77ab9e,Андрей Зайцев,mentor,senior,Mobile,Android Developer,react native; ui/ux; git; firebase; xcode; rest api; kotlin; flutter; objective-c; android studio,en,online,9,False,0,False,0.0
mentor_8169f93e,Елена Иванов,mentor,middle,Mobile,Flutter Developer,,,offline,4,True,4,False,0.0
mentor_ac714b00,Дарья Соколов,mentor,middle,Game Development,Gameplay Programmer,c#; physics simulation; game design; git; blender; unreal engine; c++; lua; python,ru+en,online,6,True,1,False,0.0
mentor_5fb49aec,Полина Степанов,mentor,senior,Game Development,Game Developer,python; git; c++; lua; opengl; blender; game design; unreal engine,,online,5,False,0,False,0.0
mentor_90d0c906,Григорий Фёдоров,mentor,middle,QA,Test Analyst,python; pytest; git; cypress; appium; sql; postman; api testing; jmeter; defi,ru+en,online,3,True,3,False,0.0
mentor_9b3290ba,Антон Никитин,mentor,middle,Product Analytics,Marketing Analyst,,ru,online,4,True,1,False,0.0
mentor_1735ebcf,Денис Морозов,mentor,senior,Data Science,Research Scientist,spark; kafka; numpy; airflow; sql; scikit-learn; docker,ru,hybrid,5,False,0,False,0.0
mentor_e5da0265,Михаил Васильев,mentor,senior,Game Development,Unity Developer,lua; blender; opengl; git; game design; python; unreal engine; unity; physics simulation; c#; c++,ru+en,online,11,False,0,False,0.0
mentor_113c1958,Ольга Попов,mentor,lead,Data Science,ML Engineer,kafka; numpy; statistics; airflow; scikit-learn; sql; python; mlflow; tensorflow; docker; pytorch,ru+en,hybrid,17,True,3,False,0.0
mentor_9b2723ce,Ольга Иванов,mentor,senior,Game Development,Game Designer,c#; blender; lua; unity; c++; unreal engine; physics simulation; git; game design; opengl,en,online,9,True,2,True,0.08
mentor_3afc9cfb,Татьяна Захаров,mentor,lead,Frontend,Web Developer,react; javascript; html; next.js; tailwind; angular; figma; webpack; css; vite; python,ru,online,16,True,8,False,0.0
mentor_df3a0d10,Надежда Петров,mentor,senior,DevOps,Cloud Engineer,prometheus; bash; helm; grafana; terraform; aws; kubernetes; ansible; linux; kotlin,ru,online,5,True,2,False,0.0
mentor_e278b5f7,Анна Соколов,mentor,lead,Frontend,Angular Developer,figma; tailwind; react; vue; graphql; next.js; angular; html; css; webpack; vite; typescript,,,17,True,6,True,0.06
mentor_5c89730c,Александр Борисов,mentor,senior,Mobile,iOS Developer,git; firebase; objective-c; swift; rest api; android studio; react native; flutter; xcode; ui/ux,en,hybrid,7,True,1,False,0.0
mentor_a6a9f47b,Татьяна Кузнецов,mentor,senior,Backend,Database Engineer,docker; kubernetes; microservices; mongodb; postgresql; java; rest api; sql,en,hybrid,10,True,1,False,0.0
mentor_9503af04,Ольга Волков,mentor,middle,Frontend,React Developer,angular; vite; figma; tailwind; css; next.js; html; vue,en,online,2,False,0,False,0.0
mentor_929e5c3e,Григорий Васильев,mentor,senior,Mobile,Swift Developer,android studio; objective-c; swift; git; java; rest api; ui/ux; firebase; flutter; kotlin; react native; xcode,,hybrid,6,True,8,False,0.0
mentor_bb26a002,Роман Фёдоров,mentor,senior,Data Science,MLOps Engineer,,,offline,11,False,0,False,0.0
mentor_8ae0b233,Сергей Степанов,mentor,lead,Game Development,Technical Artist,git; blender; lua; unity; physics simulation; c#; c++; python; opengl; unreal engine; game design,en,online,9,True,1,False,0.0
mentor_420817b0,Полина Соколов,mentor,senior,Blockchain,DeFi Developer,ethers.js; ethereum; defi; hardhat; smart contracts; web3.js; typescript,en,online,11,False,0,True,0.15
mentor_ed253048,Мария Андреев,mentor,lead,Blockchain,Solidity Developer,ethers.js; web3.js; python; ethereum; defi; hardhat; nft; truffle; smart contracts; typescript; rust,en,online,14,False,0,False,0.0
mentor_2a61d3b8,Александр Новиков,mentor,senior,Blockchain,Smart Contract Developer,,,,9,True,5,False,0.0
mentor_36e3929f,Елена Лебедев,mentor,senior,Game Development,Game Developer,unity; unreal engine; python; lua; c#; c++; opengl; grpc,en,,7,True,1,False,0.0
mentor_db30ab52,Алексей Борисов,mentor,senior,Game Development,Unreal Engine Developer,git; c++; lua; unreal engine; game design; c#; unity; blender; physics simulation; opengl; python,ru+en,online,10,True,3,False,0.0
mentor_1cd95c06,Ксения Орлов,mentor,senior,Mobile,Mobile Architect,,,,6,True,8,False,0.0
mentor_a62ca058,Алексей Павлов,mentor,middle,DevOps,Kubernetes Engineer,,ru+en,hybrid,2,True,1,False,0.0
mentor_13947eb3,Мария Егоров,mentor,lead,DevOps,DevOps Engineer,github actions; prometheus; helm; bash; linux; gcp; kubernetes; ansible; aws,ru+en,online,19,True,3,False,0.0
mentor_2e4eb668,Егор Новиков,mentor,middle,Backend,Python Developer,kubernetes; microservices; kafka; go; docker; python; node.js; grpc; jira,ru,offline,3,True,5,False,0.0
mentor_4f6ed4ff,Михаил Петров,mentor,lead,Game Development,Unity Developer,unity; c++; physics simulation; blender; opengl; python; c#; lua; unreal engine; git; game design,ru,online,16,True,2,True,0.1
mentor_1485657a,Денис Егоров,mentor,senior,Product Analytics,Retention Analyst,looker; sql; python; tableau; a/b testing; amplitude; statistics; excel; power bi; google analytics; mixpanel,ru+en,online,10,True,4,False,0.0
mentor_4fbb9b05,Валерия Морозов,mentor,senior,Cybersecurity,AppSec Engineer,cryptography; burp suite; python; owasp; nmap; metasploit; penetration testing; network security; siem; linux; wireshark; truffle,ru+en,offline,6,False,0,False,0.0
mentor_926c1d8a,Григорий Степанов,mentor,middle,Cybersecurity,Incident Response Analyst,linux; network security; metasploit; cryptography; nmap,en,online,3,True,4,False,0.0
mentor_6ea7b2e6,Людмила Макаров,mentor,lead,Product Analytics,A/B Test Specialist,google analytics; mixpanel; python; tableau; sql; looker; statistics; power bi; amplitude; a/b testing; unity,ru+en,offline,11,True,4,True,0.13
